Número provisional DEA;Tipo de establecimiento;Titularidad del local;Uso del local;Titularidad;Propuesta de denominación;Tipo de vía;Nombre de la vía;Número de la vía;Complemento de dirección;Código postal;Distrito;Coordenadas-Latitud (norte);Coordenadas-Longitud (oeste, por lo tanto, negativa)
5545;Otro;Pública;Público;Centro de mayores y centro de día de Vicálvaro ;Centro de mayores y centro de día de Vicálvaro ;Avenida;Daroca;342;;28032;19. Vicálvaro;40,4034589;-3,6093068
5610;Hotel, hostal, alojamiento;Privada;Privado;Hotel Atocha;Hotel Atocha ;Calle;Atocha ;107;Al lado de recepción ;28012;1. Centro;40,410476;-3,695191
5612;Hotel, hostal, alojamiento;Privada;Privado;Casa de las Artes;Casa de las artes ;Calle;Atocha ;83;;28012;1. Centro;40,411694;-3,697602
5233;Transportes-Metro;Pública;Público;Metro Madrid ;Metro Madrid estación Vicálvaro ;Paseo;Artilleros ;S/N;;28032;19. Vicálvaro;40,40445249;-3,608867823
5613;Hotel, hostal, alojamiento;Privada;Privado;Hotel casa de las Artes;Casa de las artes 1 planta;Calle;Atocha ;83;Primera planta;28012;1. Centro;40,411694;-3,697602
5614;Hotel, hostal, alojamiento;Privada;Privado;Casa de las Artes edificio Moratin;3 planta edif Moratin;Calle;Atocha;83;;28012;1. Centro;40,411694;-3,697602
3834;Otro establecimiento administración pública;Pública;Público;Centro cultural El Madroño;Centro cultural El Madroño;Calle;Villardondiego ;36;;28032;19. Vicálvaro;40,40542;-3,6088955
5611;Hotel, hostal, alojamiento;Privada;Privado;Edificio Moratin plant -1 personal;Planta personal ;Calle;Atocha;83;;28012;1. Centro;40,411694;-3,697602
5606;Hotel, hostal, alojamiento;Privada;Privado;Hotel Catalonia;Hotel Catalonia;Calle;Atocha ;81;;28012;1. Centro;40,411861;-3,697908
5608;Otro;Privada;Privado;Teatro monumental ;Teatro Monumental ;Calle;Atocha ;65;Hall de entrada ;28012;1. Centro;40,412429;-3,699095
9035;Centro educativo;Pública;Público;Colegio público Vicálvaro ;Colegio público Vicálvaro ;Calle;Forges;15;;28032;19. Vicálvaro;40,4052868;-3,6014005
;Centro educativo;Pública;Público;Comedor del colegio público Vicálvaro ;Comedor colegio público Vicálvaro ;Calle;Pedernal ;4;;28032;19. Vicálvaro;40,4056998;-3,5982443
10087;Centro educativo;Pública;Público;IES VILLABLANCA;IES VILLABLANCA;Calle;Villablanca ;79;;28032;19. Vicálvaro;40,4063148;-3,6003325
10086;Centro educativo;Pública;Público;IES Villablanca edificio Automoción ;IES Villablanca edificio Automoción ;Calle;Villablanca ;79;Edificio Automoción ;28032;19. Vicálvaro;40,4063148;-3,6003325
3720;Hotel, hostal, alojamiento;Privada;Público;Hotel VPSOGNIO Metropolitano ;Hotel VP metropolitano;Avenida;Reina Victoria;12;;28003;6. Tetuán;40,447104;-3,7058154
3545;Centro deportivo;Privada;Público;BASIC -FIT;BASIC - FIT gimnasio;Calle;Raimundo Fernández Villaverde ;10;;28003;7. Chamberí;40,4466445;-3,7025894
981;Centro deportivo;Pública;Público;CDM Margot Moles;Polideportivo de Vicálvaro ;Paseo;Del Polideportivo ;3;;28032;19. Vicálvaro;40,4097871;-3,6032072
;Centro comercial;Privada;Público;Leroy Merlin;Leroy Merlin;Calle;Raimundo Fernández Villaverde;43;;28003;7. Chamberí;40,4466659;-3,6978241
;Otro establecimiento administración pública;Pública;Público;Centro municipal de Salud Comunitaria;CMSC Vicálvaro ;Calle;Calahorra ;11BIs;;28032;19. Vicálvaro;40,4082267;-3,6127347
3540;Centro de trabajo (no administración pública);Privada;Público;Torre AZCA EUEE estudios empresariales AIE;Torre AZCA EY;Calle;Raimundo Fernández Villaverde ;65;Planta baja y planta 19;28003;7. Chamberí;40,446696;-3,6946051
3548;Centro de trabajo (no administración pública);Privada;Privado;Edificio Gemininis I;Edificio Geminis I;Calle;Raimundo Fernández Villaverde;42;;28003;7. Chamberí;40,4461227;-3,6979297
3546;Otro establecimiento administración pública;Pública;Público;Agencia tributaria madrid;Agencia tributaria ;Calle;Raimundo Fernández Villaverde ;32;;28003;7. Chamberí;40,4461829;-3,6988209
4270;Centro deportivo;Pública;Privado;Estadio de fútbol Valdebernardo. RFFM;Estadio de fútbol Valdebernardo ;Avenida;Aurora Boreal ;S/N;;28032;19. Vicálvaro;40,4005195;-3,6102684
4811;Otro establecimiento administración pública;Pública;Público;Centro Base 1 de Valoración y Orientación de la Discapacidad;Centro de valoración y orientación de la discapacidad ;Calle;Maudes;26;;28003;7. Chamberí;40,4452312;-3,7000517
4810;Otro establecimiento administración pública;Pública;Público;Consejeria de transportes, vivienda e infraestructura ;Conserjería de transportes, vivienda e infraestructura ;Calle;Maudes;17;;28003;7. Chamberí;40,4453184;-3,701028
8185;Centro educativo;Pública;Público;Colegio Verbo Encarnado;Colegio Verbo Encarnado;Calle;Alenza;28;;28003;7. Chamberí;40,4456389;-3,7003072
5344;Centro de trabajo (no administración pública);Privada;Privado;Centro comisiones obreras;CCOO;Calle;Cristóbal Bordiu ;33;Primera planta escalera D;28003;7. Chamberí;40,4431646;-3,6986509
5343;Centro de trabajo (no administración pública);Privada;Público;Globant>gut;Globant>gut;Calle;Cristóbal Bordiu;13;;28003;7. Chamberí;40,4431868;-3,7010468
2155;Transportes-Metro;Pública;Público;Metro Madrid;Metro Ríos Rosas acceso pares;Calle;Ríos Rosas ;22;Entra pares;28003;7. Chamberí;40,4419439;-3,7011034
2153;Centro de trabajo (no administración pública);Privada;Privado;Oficinas de Isabel II;Oficinas Canal de Isabel II;Calle;Ríos Rosass;24;;28003;7. Chamberí;40,4419307;-3,7009492
2152;Centro educativo;Pública;Público;La ETSI DE MINAS Y ENERGIA;La ETSI;Calle;Ríos Rosas;21;;28003;7. Chamberí;40,4421228;-3,7001633
2156;Otro establecimiento administración pública;Pública;Público;Museo Geominero;Museo Geominero;Calle;Ríos Rosas;23;;28003;7. Chamberí;40,4420241;-3,6994126
2154;Centro educativo;Privada;Público;Centro María Inmaculada ;Centro Educativo María Inmaculada;Calle;Ríos Rosas;35;;28003;7. Chamberí;40,441934;-3,6981896
794;Otro establecimiento administración pública;Pública;Público;Centro Municipal Santa Engracia;Centro de Mayores Santa engracia;Calle;Santa Engracia ;118;;28003;7. Chamberí;40,4405002;-3,7007407
451;Centro educativo;Privada;Privado;Colegio Nuestra Señora de Moratalaz;Colegio Nuestra Señora Moratalaz, secretaria;Avenida;De Moratalaz;91 bis;Bloque;28030;14. Moratalaz;40,40699591;-3,65927282
452;Centro deportivo;Privada;Privado;Gimnasio Dreamfit;Dreamfit Moratalaz;Avenida;Avenida de Moratalaz  ;40;;28030;14. Moratalaz;40,40699591;-3,65927282
786;Centro residencial de uso público;Pública;Público;Centro Integrado Santa Engracia;Centro Residencial de Mayores Santa Engracia;Calle;Santa Engracia;120;;28003;7. Chamberí;40,4403629;-3,7002069
3039;Transportes-Metro;Pública;Público;METRO;Metro Vinateros / Corregidor José de Pasamonte;Avenida;Avenida Vinateros;75;;28030;14. Moratalaz;40,40985844;-3,650143208
1837;Transportes-Renfe;Pública;Público;Consorcio transporte Madrid;Consorcio transporte Madrid;Plaza;Del Descubridos Diego de Ordas ;3;;28003;7. Chamberí;40,4407617;-3,7001033
3041;Transportes-Metro;Pública;Público;METRO;Metro Vinateros Arroyo Belincoso;Calle;Camino de los Vinateros ;70;;28030;14. Moratalaz;40,40985844;-3,650143208
1839;Centro de trabajo (no administración pública);Privada;Privado;Edificio Colonial;Edificio Colonial;Plaza;Del Descubridor Diego de Ordas;3;;28003;7. Chamberí;40,4408911;-3,7001754
3042;Transportes-Metro;Pública;Público;METRO;Metro Estrella;Calle;Camino de los Vinateros ;1;;28030;14. Moratalaz;40,41119868;-3,660056352
3043;Viviendas;Privada;Privado;Urbanización;Urbanización enfrente del Alcampo;Calle;Camino de los Vinateros;10;Portal número 10, en conserjería ;28030;14. Moratalaz;40,41014192;-3,660529245
788;Centro educativo;Privada;Público;Colegio Divina Pastora;Colegio Divina Pastora;Calle;Santa Engracia;142;;28003;7. Chamberí;40,444021;-3,7024348
3652;Centro educativo;Privada;Privado;Colegio San Martin;Colegio San Martín;Calle;Doctor García Tapia ;124;;28030;14. Moratalaz;40,41193543;-3,647664535
9862;Centro educativo;Pública;Público;Colegio cervantes;Colegio Cervantes;Calle;Raimundo Fernández Villaverde ;4;;28003;7. Chamberí;40,4466891;-3,7031724
3547;Otro establecimiento administración pública;Pública;Público;Departamento de Servicios Sanitarios Calidad y Consumo Ayuntamiento de Madrid;OMIC;Calle;Raimundo Fernández Villaverde ;8;;28003;7. Chamberí;40,4465028;-3,7028455
4781;Otro;Pública;Público;Centro de Día de Mayores;Centro de Día de Mayores de Moratalaz;Calle;Arroyo Belincoso ;13;Es la centro situado enfrente de la biblioteca;28030;14. Moratalaz;40,40996929;-3,652855007
8184;Centro deportivo;Pública;Público;Centro Deportivo Elipa;Centro deportivo Municipal la Elipa ;Calle;Alcalde Garrido Juaristi ;17;Situado en el Frontón ;28030;14. Moratalaz;40,41591;-3,656635
8183;Centro deportivo;Pública;Público;Centro Municipal La Elipa ;Centro Deportivo Elipa pista de tenis;Calle;Alcalde Garrido Juaristi ;17;Hay que andar mucho hasta las pistas;28030;14. Moratalaz;40,415388;-3,652558
9760;Centro educativo;Pública;Público;CP Inmemorial del Rey ;Colegio Inmemorial del Rey;Avenida;De Moratalaz ;51;Difícil acceso;28030;14. Moratalaz;40,40734251;-3,656942706
9761;Centro educativo;Pública;Público;Colegio Público Francisco de Luis;Colegio Francisco de Luis ;Calle;Corregidor Rodrigo Rodríguez ;5;Hall de entrada;28030;14. Moratalaz;40,40862095;-3,660255093
9762;Centro educativo;Pública;Público;Colegio Sainz de Vicuña;Colegio Sainz de Vicuña secretaria;Calle;Camino de los Vinateros;104;;28030;14. Moratalaz;40,40914862;-3,649806379
9766;Centro educativo;Pública;Público;ÍES REY PASTOR;Instituto Rey Pastor;Calle;Corregidor José de Pasamonte ;17;;28030;14. Moratalaz;40,41064502;-3,648041099
9768;Centro educativo;Pública;Público;Colegio José de Pasamonte;Colegio José de Pasamonte secretaria;Calle;Doctor García Tapia ;47;;28030;14. Moratalaz;40,41233949;-3,647904133
9770;Centro educativo;Pública;Público;ÍES MORATALAZ;ÍES MORATALAZ;Calle;Corregidor Diego de Valderrabano;35;Edificio A ;28030;14. Moratalaz;40,41273174;-3,6582091
10181;Centro educativo;Pública;Público;Escuela de Diseño de Moratalaz;Escuela de Diseño;Calle;Camino de los Vinateros ;106;Fácil acceso;28030;14. Moratalaz;40,40899268;-3,64869703
1941;Viviendas;Privada;Privado;Comunidad de propietarios;Al entrar a la derecha;Calle;Isabel Clara Eugenia ;45;Al lado del portal 47 D;28050;16. Hortaleza;40,4942761;-3,6538915
1942;Viviendas;Privada;Privado;Comunidad de propietarios ;Portal 50 izquierda al fondo;Calle;Isabel Clara Eugenia ;50;;28050;16. Hortaleza;40,4950642;-3,6541054
9864;Centro educativo;Pública;Público;C.P. Rufino Blanco;C.P. Rufino Blanco;Calle;General Álvarez De Castro ;46;;28010;7. Chamberí;40,4381722;-3,7023953
3951;Viviendas;Privada;Privado;Comunidad de propietarios ;Al lado del cuarto de basuras;Calle;Vicente Blasco Ibáñez;31;Portal 53;28050;16. Hortaleza;40,4956896;-3,6531536
796;Viviendas;Privada;Privado;Comunidad de propietarios ;Comunidad de propietarios 113;Calle;Santa Engracia ;113;;28010;7. Chamberí;40,4379632;-3,7001794
6786;Viviendas;Privada;Privado;Comunidad de propietarios ;Junto al conserje;Calle;Americo Castro;70-108;Junto al conserje en el lateral izquierdo;28050;16. Hortaleza;40,4978759;-3,6523281
5243;Centro educativo;Privada;Público;Colegio La Inmaculada Marillac;Colegio La Inmaculada Marillac;Calle;Garcia Paredes;37;;28010;7. Chamberí;40,4367414;-3,6975535
1752;Centro educativo;Privada;Público;Colegio San Juan García ;Hall Entrada Colegio San Juan García ;Calle;Camarena ;57 A;;28047;10. Latina;40,394925;-3,755423
7668;Centro comercial;Pública;Público;Mercado Chamberi;Mercado Chamberí;Calle;Alonso Cano;10;;28010;7. Chamberí;40,4361871;-3,6978295
3947;Viviendas;Privada;Privado;Comunidad de propietarios ;En el gimnasio;Avenida;Niceto Alcalá Zamora ;24;En el gimnasio;28050;16. Hortaleza;40,4974289;-3,6534986
7668;Centro comercial;Privada;Público;Mercado Chamberí ;Fitup Smart Gym;Calle;Alonso Cano;10;Gimnasio en el mercado de Chamberí ;28010;7. Chamberí;40,4361871;-3,6978295
3945;Centro educativo;Privada;Privado;CEU San Pablo;En el hall a la izquierda;Avenida;Niceto Alcalá Zamora;43;;28050;16. Hortaleza;40,4955216;-3,6513384
290;Transportes-Metro;Pública;Público;Metro ;Metro Iglesia ;Calle;Santa Engracia ;58;;28010;7. Chamberí;40,43504687;-3,698183079
1751;Centro educativo;Privada;Público;Colegio La Anunciata;Colegio La Anunciata ;Calle;Camarena ;55;;28047;10. Latina;40,39572;-3,754261
1200;Centro de trabajo (no administración pública);Privada;Público;Inversores Tirema;Fundación Tatiana;Calle;General Martínez Campos;25;;28010;7. Chamberí;40,4351993;-3,6949692
1197;Centro educativo;Privada;Privado;Colegio Concertado;DEA colegio Sagrado Corazón ;Calle;General Martínez Campos ;6;;28010;7. Chamberí;40,43483252;-3,697874319
1203;Otro establecimiento administración pública;Pública;Público;Tribunal superior de justicia;Tribunal superior de justicia sala de lo social;Calle;General Martínez Campos;27;;28010;7. Chamberí;40,4352108;-3,6942219
9438;Centro educativo;Pública;Privado;Colegio Manuel Fraga Iribarne;En el hall principal a la derecha;Avenida;Niceto Alcalá Zamora ;54;Colegio Manuel Fraga Iribarne;28050;16. Hortaleza;40,4992368;-3,6565087
1202;Centro educativo;Privada;Privado;Privado ;DEA CEF ;Calle;General Martínez Campos;5;;28010;7. Chamberí;40,43483266;-3,69785074
1042;Centro educativo;Privada;Público;Colegio María Inmaculada Hijas de la Caridad;Colegio María Inmaculada  ;Calle;Fernández de la Oz;25;;28010;7. Chamberí;40,4344894;-3,6949015
9884;Centro educativo;Pública;Privado;Colegio educativo;Hall principal a la derecha;Avenida;Niceto Alcalá Zamora ;48;Colegio Cortes de Cadiz;28050;16. Hortaleza;40,4988799;-3,6559257
9014;Centro educativo;Pública;Público;CENTRO DE EDUCACIÓN ESPECIAL FRAY PEDRO PONCE DE LEON;CEE FRAY PEDRO PONCE DE LEON ;Calle;Los Yébenes ;76 BIS;;28047;10. Latina;40,392825;-3,753319
3532;Centro deportivo;Privada;Público;SYNERGYM;SYNERGYM;Calle;Rafael Calvo ;15;;28010;7. Chamberí;40,434032;-3,6943838
5761;Centro educativo;Pública;Público;CEIP ANTONIO MANUEL ROSALES;CEIP ANTONIO MANUEL ROSALES;Calle;Del Olmo 4;4;1 piso;28012;1. Centro;40,41123;-3,701338
3783;Centro deportivo;Privada;Público;Gimnasio ;DEA Go Bigg;Calle;Eloy Gonzalo;34;;28010;7. Chamberí;40,43448724;-3,699851478
1199;Otro establecimiento administración pública;Pública;Público;Gestion Tributaria de la Comunidad de Madrid ;Conserjería de Economía, hacienda y empleo;Paseo;General Martínez Campos;30;;28010;7. Chamberí;40,4350304;-3,694075
3781;Centro de trabajo (no administración pública);Privada;Privado;Oficina ;DEA Wework planta 3;Calle;Eloy Gonzalo ;27;;28010;7. Chamberí;40,4346456;-3,700477995
9790;Centro educativo;Pública;Público;CEIP HERNÁN CORTES;CEIP HERNÁN CORTES ;Calle;Los Yebenes ;241;;28047;10. Latina;40,391208;-3,751432
681;Centro educativo;Privada;Público;Colegio La Inmaculada;Colegio , 1 planta ;Calle;Navalperal ;9;Primera planta;28035;9. Moncloa;40,46105338;-3,726287742
1204;Centro de trabajo (no administración pública);Privada;Público;ASISA;ASiSa;Paseo;General Martínez Campos;46;;28010;7. Chamberí;40,4351107;-3,6918287
1205;Centro de trabajo (no administración pública);Privada;Privado;EMEIS;EMEIS;Paseo;General Martínez Campos ;46;7 planta;28010;7. Chamberí;40,4352488;-3,6918726
3782;Centro de trabajo (no administración pública);Privada;Privado;Oficina ;DEA WEWORK CANTINA ;Calle;Eloy Gonzalo;27;;28010;7. Chamberí;40,4346456;-3,700477995
3960;Centro de trabajo (no administración pública);Privada;Privado;Empresa Merlin;Garita de seguridad;Calle;María de Portugal ;09-nov;;28050;16. Hortaleza;40,4998415;-3,6602963
;Centro de trabajo (no administración pública);Privada;Privado;Empresa;Hall principal a la izquierda;Calle;María de Portugal ;9;Empresa inetum;28050;16. Hortaleza;40,4997933;-3,6603443
1198;Otro establecimiento administración pública;Pública;Público;Museo Sorolla;Museo Sorolla;Paseo;General Martínez Campos;37;;28010;7. Chamberí;40,4352603;-3,6924798
325;Centro educativo;Privada;Público;City country school;Centro educativo extranjero;Calle;De la Isla Soledad;2;;28035;9. Moncloa;40,46768564;-3,724660577
1196;Centro educativo;Privada;Público;British Council;British Council;Paseo;General Martínez Campos;31;;28010;7. Chamberí;40,4353169;-3,6937921
3957;Centro de trabajo (no administración pública);Privada;Privado;Medtronic;En el hall principal a la derecha en las oficinas ;Calle;María de Portugal;11;Medtronic;28050;16. Hortaleza;40,5001882;-3,6599617
5742;Centro educativo;Pública;Público;OFICINA DE EMPLEO;OFICINA DE EMPLEO;Calle;Illescas ;189;;28047;10. Latina;40,392154;-3,754015
1067;Centro deportivo;Pública;Público;Polideportivo Ciudad de los Poetas;Polideportivo;Calle;Antonio Machado;12;;28035;9. Moncloa;40,46594576;-3,719074379
2057;Centro de trabajo (no administración pública);Privada;Privado;Prallariz;Prallariz;Calle;Miguel Angel ;11;;28010;7. Chamberí;40,4354818;-3,6913506
2058;Centro de trabajo (no administración pública);Privada;Privado;McKinsey & Company;McKinsey & Company;Calle;Miguel Ángel ;23;;28010;7. Chamberí;40,4362341;-3,6913754
3958;Centro de trabajo (no administración pública);Privada;Privado;Empresa;Hall a la derecha, edificio 3 ;Calle;María de Portugal ;1;Edificio 3;28050;16. Hortaleza;40,4956921;-3,6645842
3959;Centro de trabajo (no administración pública);Privada;Privado;Empresa;Edificio 2;Calle;María de Portugal ;1;Edificio 2;28050;16. Hortaleza;40,4956921;-3,6645842
2059;Transportes-Metro;Pública;Público;Metro ;Metro Gregorio Marañon andén 2;Calle;Miguel Ángel ;33;Planta baja;28010;7. Chamberí;40,4379517;-3,6913503
9158;Centro educativo;Pública;Público;Colegio Lepanto;Colegio;Calle;Valderrey;9;;28035;9. Moncloa;40,46856327;-3,721178393
7836;Transportes-Renfe;Pública;Público;Adif;Planta primera;Vestibulo ;Planta primera ;1;;28012;1. Centro;40,406399;-3,69101
2260;Transportes-Metro;Pública;Público;Metro;Metro Gregorio Marañon anden 1;Calle;Miguel Angel;33;Anden 1;28019;7. Chamberí;40,4379517;-3,6913503
3786;Centro de trabajo (no administración pública);Privada;Público;Oficina ;DEA HAVAS CANTINA ;Calle;Eloy Gonzalo ;10;;28010;7. Chamberí;40,43370213;-3,703038406
